[8 Apr 2026 18:15:13] DISTANCE CHECK: SimLat=48.72275127845778, SimLon=2.3583888451714095, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:14] DISTANCE CHECK: SimLat=48.72275127845837, SimLon=2.3583888451712367, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:15] DISTANCE CHECK: SimLat=48.72275127845894, SimLon=2.3583888451709907, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:16] DISTANCE CHECK: SimLat=48.72275127845949, SimLon=2.358388845170975, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:17] DISTANCE CHECK: SimLat=48.72275127846001, SimLon=2.3583888451707065, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:18] DISTANCE CHECK: SimLat=48.72275127846044, SimLon=2.358388845170552, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:19] DISTANCE CHECK: SimLat=48.72275127846099, SimLon=2.358388845170353, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:20] DISTANCE CHECK: SimLat=48.72275127846142, SimLon=2.3583888451701798, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:21] DISTANCE CHECK: SimLat=48.72275127846195, SimLon=2.358388845170011, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:22] DISTANCE CHECK: SimLat=48.72275127846244, SimLon=2.358388845169744, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:23] DISTANCE CHECK: SimLat=48.72275127846297, SimLon=2.358388845169606, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:24] DISTANCE CHECK: SimLat=48.72275127846362, SimLon=2.358388845169428, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:25] DISTANCE CHECK: SimLat=48.722751278464024, SimLon=2.358388845169225, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:26] DISTANCE CHECK: SimLat=48.72275127846448, SimLon=2.3583888451691037, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:27] DISTANCE CHECK: SimLat=48.72275127846598, SimLon=2.358388845169051, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:28] DISTANCE CHECK: SimLat=48.722751278465424, SimLon=2.3583888451689172, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:29] DISTANCE CHECK: SimLat=48.7227512784664, SimLon=2.358388845168728, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:30] DISTANCE CHECK: SimLat=48.72275127846683, SimLon=2.3583888451684847, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:31] DISTANCE CHECK: SimLat=48.72275127846728, SimLon=2.358388845168294, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:32] DISTANCE CHECK: SimLat=48.722751278467875, SimLon=2.3583888451682236, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:33] DISTANCE CHECK: SimLat=48.722751278468564, SimLon=2.358388845167993, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:34] DISTANCE CHECK: SimLat=48.722751278469005, SimLon=2.3583888451678185, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:35] DISTANCE CHECK: SimLat=48.7227512784695, SimLon=2.358388845167585, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:36] DISTANCE CHECK: SimLat=48.72275127846993, SimLon=2.3583888451675397, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:37] DISTANCE CHECK: SimLat=48.722751278471364, SimLon=2.358388845167276, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:38] DISTANCE CHECK: SimLat=48.72275127847087, SimLon=2.3583888451671298, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:39] DISTANCE CHECK: SimLat=48.72275127847174, SimLon=2.358388845166941, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:40] DISTANCE CHECK: SimLat=48.72275127847218, SimLon=2.3583888451667465, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:41] DISTANCE CHECK: SimLat=48.72275127847275, SimLon=2.3583888451665604, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:42] DISTANCE CHECK: SimLat=48.72275127847319, SimLon=2.3583888451664228, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:43] DISTANCE CHECK: SimLat=48.72275127847382, SimLon=2.3583888451661994, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:44] DISTANCE CHECK: SimLat=48.72275127847426, SimLon=2.3583888451660573, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:45] DISTANCE CHECK: SimLat=48.72275127847497, SimLon=2.3583888451658037, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:46] DISTANCE CHECK: SimLat=48.72275127847547, SimLon=2.358388845165667, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:47] DISTANCE CHECK: SimLat=48.722751278476466, SimLon=2.358388845165546, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:48] DISTANCE CHECK: SimLat=48.72275127847805, SimLon=2.3583888451652024, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:49] DISTANCE CHECK: SimLat=48.72275127847835, SimLon=2.3583888451651336, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:50] DISTANCE CHECK: SimLat=48.722751278478924, SimLon=2.358388845164927, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:51] DISTANCE CHECK: SimLat=48.72275127847961, SimLon=2.358388845164718, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:52] DISTANCE CHECK: SimLat=48.722751278480075, SimLon=2.3583888451645763, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:53] DISTANCE CHECK: SimLat=48.72275127847888, SimLon=2.358388845164373, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:54] DISTANCE CHECK: SimLat=48.72275127847989, SimLon=2.358388845164244, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:55] DISTANCE CHECK: SimLat=48.722751278480295, SimLon=2.3583888451640433, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:56] DISTANCE CHECK: SimLat=48.722751278480864, SimLon=2.3583888451639052, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:57] DISTANCE CHECK: SimLat=48.72275127848135, SimLon=2.358388845163685, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
