[8 Apr 2026 18:12:08] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:09] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:10] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:11] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:12] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:13] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:14] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:15] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:16] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:17] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:18] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:19] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
